geography_code,has_ever_worked-001,has_ever_worked-002,has_ever_worked-003
E00001591,11.8,48.4,39.9
E00001596,15,58.1,26.9
E00001598,11.7,59.2,29.1
E00001599,9.8,63,27.2
E00001600,13.5,58.6,27.9
E00001662,10.6,69.4,20
E00001664,14,66.9,19.1
E00001665,13,68.5,18.5
E00001666,15.2,53.5,31.3
E00001668,12.6,73.6,13.8
E00001669,11.7,67,21.4
E00001670,19.4,59.7,20.9
E00001671,19.2,71.2,9.6
E00001672,11.7,68,20.4
E00001673,15.8,58.9,25.3
E00001674,12.5,66.1,21.4
E00001675,12.1,69,19
E00001676,13,66,21
E00001677,7.2,80.2,12.6
E00001678,11.5,69.1,19.4
E00001679,13.2,66.7,20.2
E00001685,12.9,67.1,20
E00001686,13.4,63.9,22.7
E00001688,5.9,70.3,23.7
E00001689,7.5,57,35.5
E00001690,11,74,15
E00001691,14.6,62.6,22.8
E00001692,17.3,51.9,30.8
E00001693,14.9,65.3,19.8
E00001694,14.3,66.2,19.5
E00001695,18.9,63.6,17.4
E00001696,16.7,64.6,18.8
E00001697,10.2,71.2,18.6
E00001698,17,60.6,22.3
E00001699,11.2,68.4,20.4
E00001700,14.2,70.8,15.1
E00001701,8.5,71.7,19.8
E00001702,7.7,75.8,16.5
E00001703,12.8,67.5,19.7
E00001704,10.7,75.7,13.6
E00001705,10.7,67.9,21.4
E00001706,10.1,55.1,34.8
E00001707,15.7,56.2,28.1
E00001708,9.2,71.3,19.5
E00001709,12.8,59.8,27.4
E00001710,5.3,63.8,30.9
E00001711,16.3,58.7,25
E00001712,13.4,65.2,21.4
E00001713,12.2,67.1,20.7
E00001714,16.4,57.8,25.9
E00001715,14.2,66.4,19.5
E00001716,13.9,70.4,15.7
E00001717,13.7,55.9,30.4
E00001718,6.6,76.9,16.5
E00001719,9.9,73,17.1
E00001720,15.9,62.2,22
E00001721,13.3,61.4,25.3
E00001722,10.3,64.9,24.7
E00001723,13.4,62.9,23.7
E00001724,9.3,62.9,27.8
E00001725,12.1,69.8,18.1
E00001726,11.1,74.6,14.3
E00001727,6.3,68.4,25.3
E00001761,12.9,64.5,22.6
E00001762,9.8,71.6,18.6
E00001763,16.2,58.1,25.7
E00001780,15.4,70.3,14.3
E00001781,13,71,16
E00001782,1,72.1,26.9
E00001783,17.1,68.6,14.3
E00001786,11,56.9,32.1
E00001788,12.6,69.9,17.5
E00001789,10.9,50,39.1
E00001790,13.3,58,28.7
E00001791,18.4,64.5,17.1
E00001792,8.7,59.2,32
E00001845,5.4,75,19.6
E00001846,9.8,64.6,25.6
E00001849,10,53.6,36.4
E00001867,13.1,49,37.9
E00001868,20,64.5,15.5
E00001869,14.3,67.9,17.9
E00001870,12.3,59.3,28.4
E00001871,15.6,49.4,35.1
E00001872,12.6,74.8,12.6
E00001873,23.9,62,14.1
E00001874,21.1,49.3,29.6
E00001875,12.7,57.9,29.4
E00001876,9.3,53.5,37.2
E00001877,7.6,62.1,30.3
E00001878,14.7,53.9,31.4
E00001879,11.6,55.8,32.6
E00001880,8.9,57.8,33.3
E00001881,10,74,16
E00001882,12.2,52.4,35.4
E00001883,8.3,77.8,13.9
E00001884,11.5,70.8,17.7
E00001885,11.6,69.6,18.8
E00001886,14.9,69,16.1
E00001887,4.4,73.5,22.1
E00001888,11.6,40.6,47.8
E00001889,20.4,50.5,29.1
E00001890,12.2,56.5,31.3
E00001891,14.1,69,16.9
E00001892,14,70.2,15.8
E00001893,14.8,50,35.2
E00001894,14.3,50.6,35.1
E00001895,16.8,55.5,27.7
E00001896,12.8,55.3,31.9
E00001897,2.6,59.7,37.7
E00001898,13.2,50.9,35.8
E00001899,13.1,72.9,14
E00001900,10,70,20
E00001901,11,75,14
E00001902,10.4,75.5,14.2
E00001903,12.4,67.8,19.8
E00001919,17,58.5,24.5
E00001922,16.9,69.5,13.6
E00001924,14.6,65.9,19.5
E00001925,10.5,59,30.5
E00001926,16.5,62.9,20.6
E00001927,13.2,66.7,20.2
E00001928,10.6,65.5,23.9
E00002007,12.4,60.2,27.4
E00002032,11.2,53.9,34.8
E00002033,16.4,60.3,23.3
E00002034,11.7,64.2,24.2
E00002035,14.5,55.1,30.4
E00002073,14.2,71.7,14.2
E00002075,7,66.3,26.7
E00002076,1.7,53.6,44.6
E00002077,18.5,57.4,24.1
E00002078,11.8,70.4,17.7
E00002079,12.4,72.2,15.5
E00002080,10.3,73.1,16.7
E00002082,16,66.4,17.6
E00002083,12.2,62.6,25.2
E00002084,12.3,59,28.7
E00002085,13.8,65.2,21
E00002086,12.5,55,32.5
E00002087,21.7,58,20.3
E00002088,5.7,49.2,45.1
E00002089,16.9,66.9,16.1
E00002092,13.6,70.4,16
E00002096,28.8,56.2,15.1
E00002098,12.8,74.4,12.8
E00002101,19.4,66.1,14.5
E00002102,17.1,64.5,18.4
E00002104,12.2,67.6,20.3
E00002105,18.3,69,12.7
E00002107,5.6,76.7,17.8
E00002175,6.6,73.6,19.8
E00002176,11.3,69.5,19.1
E00002177,16.8,63.6,19.6
E00002178,6.9,76.9,16.2
E00002179,11.1,79.5,9.4
E00002180,9.2,80.6,10.2
E00002181,13.3,66.7,20
E00002182,9,78.7,12.4
E00002183,5.2,79.2,15.6
E00002184,21.7,59.4,18.8
E00002185,12.3,58.2,29.5
E00002186,10,65,25
E00002187,14.1,65.6,20.3
E00002188,12,67.5,20.5
E00002189,17.3,64,18.7
E00002190,18.5,66.9,14.5
E00002191,10.9,74.5,14.5
E00002192,11.7,73.9,14.4
E00002193,16.5,59.5,24.1
E00002194,4.8,81,14.3
E00002195,9.8,69.1,21.1
E00002196,10.3,71,18.7
E00002197,7,60.5,32.6
E00002198,6.1,71.4,22.4
E00002199,2.8,76.6,20.6
E00002200,15.4,56.2,28.5
E00002201,8,65.2,26.8
E00002202,11.7,71.9,16.4
E00002203,13.6,63.2,23.2
E00002204,12.2,63.3,24.5
E00002205,8.3,69.9,21.8
E00002206,20,62.7,17.3
E00002207,6.6,72.3,21.2
E00002240,16.8,65.2,18
E00002241,17.7,57.7,24.6
E00002242,8.6,72.4,19
E00002243,2.9,77,20.1
E00002244,12,65.3,22.7
E00002245,12.1,69.8,18.1
E00002246,20.5,60.7,18.8
E00002247,13.3,60.2,26.5
E00002248,7.6,68.6,23.8
E00002249,14.7,65.7,19.6
E00002250,9.5,79.3,11.2
E00002251,20,54.7,25.3
E00002252,40.7,35,24.3
E00002253,9.1,75,15.9
E00002254,14.9,69.3,15.8
E00002255,8.1,71.1,20.8
E00002256,6.9,81.7,11.5
E00002257,2.4,84.7,12.9
E00002258,9.3,67.6,23.1
E00002260,17.9,61.8,20.3
E00002261,8.7,73.9,17.4
E00002262,20,63.1,16.9
E00002263,40.1,38,21.9
E00002264,14.9,62.8,22.3
E00002265,9.4,70.8,19.8
E00002266,19.4,57.6,23
E00002267,6.8,75.3,17.9
E00002268,11.1,74.4,14.4
E00002269,5.1,81.4,13.6
E00002270,14.7,71.6,13.8
E00002271,12.2,58.5,29.3
E00002272,22.5,55,22.5
E00002273,9.3,75.6,15.1
E00002274,16.7,57.8,25.6
E00003344,7.8,75.8,16.4
E00003353,17.6,64,18.4
E00003540,17.8,61.7,20.6
E00003541,13.4,65.4,21.3
E00003542,12.1,59.1,28.8
E00003544,11.7,67.2,21.1
E00003547,17.5,52.4,30.1
E00003548,14.3,49,36.7
E00003549,12.3,50.8,36.9
E00003550,12.5,54.2,33.3
E00003551,8.8,60.5,30.7
E00003552,13.7,52.9,33.3
E00003553,11.8,66.2,22.1
E00003571,15.2,58.2,26.6
E00003572,16.3,56.1,27.6
E00003573,7.5,45.8,46.7
E00003574,8.1,64.7,27.2
E00003575,19.6,48.9,31.5
E00003576,10.4,63.6,26
E00003577,13.4,63,23.5
E00003578,10.1,57.8,32.1
E00003579,13.1,60.7,26.2
E00003580,25.3,49.5,25.3
E00003581,11.7,56.4,31.9
E00003582,15.6,56.9,27.5
E00003583,10.8,55.9,33.3
E00003584,12.8,56.9,30.3
E00003585,7.8,61,31.2
E00003586,2.9,65.7,31.4
E00003587,14.4,50,35.6
E00003588,16.3,46.2,37.5
E00003589,10.7,58,31.3
E00003590,9.1,49.4,41.6
E00003591,4.4,72.2,23.3
E00003592,9.3,70.1,20.6
E00003593,13.1,59.2,27.7
E00003594,11.8,41.7,46.5
E00122604,17.1,49.4,33.5
E00122605,15.4,70.8,13.8
E00122606,10,70.7,19.3
E00122607,13,64.1,22.9
E00122608,10.7,77.7,11.6
E00122609,8,76.1,15.9
E00122610,2.8,74.7,22.5
E00122611,22.8,62,15.2
E00122613,9.6,68.4,21.9
E00122614,9.5,74.6,15.9
E00122615,8.1,79.3,12.6
E00122617,15.5,65.5,19
E00122618,18.7,57.7,23.6
E00122619,6.6,79.3,14
E00122620,2.4,80.5,17.1
E00122621,0.8,83.2,16
E00124086,13.3,75.3,11.4
E00124231,9.8,67.5,22.7
E00124232,14.7,62.9,22.4
E00124240,9.1,60.3,30.6
E00124241,9.3,63.9,26.9
E00124245,7.9,68.3,23.8
E00124249,17.9,57.1,25
E00124250,11.6,64,24.4
E00124252,12.4,59.3,28.3
E00124253,15.8,60.5,23.7
E00124254,6.5,63.4,30.1
E00124255,13.5,62.9,23.6
E00124256,8.8,62.7,28.4
E00124257,12.3,64.2,23.6
E00124258,13.4,55.5,31.1
E00124263,4.3,69.3,26.4
E00124266,11.4,61,27.6
E00166760,13,51.9,35.1
E00166761,22.9,54.2,22.9
E00166762,18.7,53.3,28
E00167452,29.8,43.9,26.3
E00167453,10.9,68.8,20.3
E00167454,26.4,40.3,33.3
E00167455,21.2,48.5,30.3
E00176923,42.1,39.5,18.4
E00176933,6.4,57.1,36.5
E00176952,13.4,71.7,15
E00176957,19,47.6,33.3
E00176977,11.9,68.3,19.8
