geography_code,hh_family_composition_4a-001,hh_family_composition_4a-002,hh_family_composition_4a-003
E00018220,10.3,29.5,60.3
E00018250,5.4,37.7,56.9
E00021235,18.2,4.5,77.3
E00021236,12.1,27.2,60.7
E00021260,12.5,35.5,52
E00021261,21.3,35.2,43.4
E00021262,12,36.8,51.1
E00021263,17,21.5,61.5
E00021273,7.3,45,47.7
E00021274,12.6,25.8,61.6
E00021275,13.2,34.7,52.1
E00021277,12.9,36.6,50.5
E00021278,16.9,21.5,61.5
E00021279,14.6,28,57.3
E00021280,14.8,37,48.1
E00021282,22.1,29.2,48.7
E00021286,21.2,33.7,45.2
E00021288,22.7,34.4,43
E00021289,9.9,27.3,62.8
E00021290,18.5,30.6,50.8
E00021292,21.3,26.9,51.9
E00021294,17.8,29.7,52.5
E00021295,22.5,23.9,53.6
E00021296,12.9,28,59.1
E00021297,24.1,20.9,55.1
E00021298,20.5,28.1,51.5
E00021299,27.7,25.2,47.1
E00021300,17.3,22.1,60.6
E00021301,23.8,17.2,58.9
E00021302,19.4,35.4,45.1
E00021303,21.1,38.3,40.6
E00021304,20.7,21.5,57.8
E00021305,23.2,30.5,46.3
E00021306,14.5,33.3,52.1
E00021307,25,32.1,42.9
E00021308,28.5,22.5,49
E00021309,18.7,30.6,50.6
E00021310,23.1,26.9,50
E00021311,19.7,26.2,54.1
E00021312,23.4,21.8,54.8
E00021313,15.5,31.1,53.4
E00021315,0,86.2,13.8
E00021316,22.4,31.8,45.8
E00021317,19.8,20.7,59.5
E00021318,34.3,31.4,34.3
E00021319,23.3,31.6,45.1
E00021320,17.6,30.5,51.9
E00021321,12.9,19,68
E00021322,22.6,25,52.4
E00021323,19,39.4,41.6
E00021324,19.2,32.1,48.7
E00021325,14.7,28.7,56.6
E00021326,23.1,18.7,58.2
E00021327,14.6,29.8,55.6
E00021328,26,17.3,56.7
E00021329,12.2,33.9,53.9
E00021330,24.5,27,48.4
E00021331,9.1,22.7,68.2
E00021332,22.7,13.3,64.1
