geography_code,is_carer_5a-001,is_carer_5a-002,is_carer_5a-003,is_carer_5a-004
W00003479,88.5,3.7,2.8,5.1
W00003480,94.1,4.5,1,0.3
W00003482,95.6,1.6,0,2.8
W00003493,87.9,4.9,2,5.2
W00003494,91.7,3.3,3.3,1.8
W00003495,90.2,4.9,2,2.9
W00003630,87.6,6.3,2.9,3.2
W00003631,87.7,6.7,1.4,4.2
W00003636,91.5,4.2,1.4,2.8
W00003637,89.7,3.7,2.6,4
W00003638,88.5,4.8,2.7,4
W00003639,89.3,8.5,1.1,1.1
W00003640,90.9,5.4,1.5,2.1
W00003641,87.6,4.4,2,6
W00003642,89.4,4.3,0.5,5.8
W00003643,93.8,5.3,0,1
W00003644,91.4,5.4,1.4,1.8
W00003645,89.4,6.5,1.4,2.8
W00003646,92.2,3,2.6,2.2
W00003664,86.6,5.5,3.7,4.1
W00003670,88.7,5.1,1.8,4.5
W00003671,90,3.7,2.1,4.1
W00003672,88.5,6.8,1.7,3
W00003673,86.5,7.8,0.7,5
W00003674,90.5,8.4,0.5,0.5
W00003675,86,8.8,2.3,2.8
W00003676,87.1,4.7,2.6,5.6
W00003677,86.2,6.9,2.7,4.2
W00003678,89.9,6.2,2.7,1.2
W00003681,87.3,3.6,3.9,5.1
W00003682,90.2,4.7,2,3.1
W00003683,87,7.6,3.1,2.3
W00003684,85.8,7.1,1.9,5.2
W00003692,90,4.9,2,3.1
W00003693,86.8,6.8,2.8,3.6
W00003695,90.4,2.8,2.1,4.7
W00003696,87.1,5.9,2.7,4.3
W00003697,85.8,8.9,0.9,4.4
W00003811,91.9,4.9,0.6,2.6
W00003812,87.3,4.3,2.5,5.9
W00003813,88.4,5.4,1,5.1
W00003814,87.4,7,3.1,2.5
W00003815,91.4,3.6,1.8,3.2
W00010004,87,6.5,2.6,3.9
