geography_code,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E00070774,9.6,37,35.6,17.8
E00070775,23.8,39.5,25.6,11
E00070776,12.3,43.2,32.2,12.3
E00070778,2.6,34.2,34.2,29
E00070780,13.4,48.5,23.1,14.9
E00070781,8.8,38.7,35.8,16.8
E00070782,11.5,40.3,34.5,13.7
E00070784,5.5,39,35.6,19.9
E00070785,3.9,32.8,34.4,28.9
E00070786,1.3,29.9,42.9,26
E00070787,0,29.6,38.9,31.5
E00070788,5.8,39.1,34.8,20.3
E00070789,0,40.8,35.2,23.9
E00070790,7.3,28,36.6,28
E00071099,5.4,27.7,40.2,26.6
E00071100,16.8,43.5,29.8,9.9
E00071101,7.9,31.5,50.3,10.3
E00071102,5.4,27.2,38,29.3
E00071197,5.1,43,35.4,16.5
E00071198,3.8,39.6,28.3,28.3
E00071199,8.3,44.4,34.7,12.5
E00071201,17.6,43.7,26.9,11.8
E00071202,4.8,30.1,47.6,17.5
E00071203,10.1,45.4,34.5,10.1
E00071204,8.6,29.6,44.1,17.7
E00187155,6,27,33,34
W00002320,13.8,54.5,24.4,7.3
W00002321,8.3,36.1,33.8,21.8
W00002323,3.8,46.2,35.4,14.6
W00002324,26.1,47.1,19,7.8
W00002325,3.8,37.8,42.2,16.2
W00002376,4.1,31.6,33.7,30.6
W00002465,4.9,36.6,40.9,17.7
W00002466,5.7,42.6,37.6,14.2
W00002467,20.2,45,24,10.9
W00008075,3.7,28.4,35.8,32.1
W00008076,3.5,33.3,43.3,19.9
W00008077,3.7,25.4,50.7,20.1
W00008078,7.2,28.8,44,20
W00008079,5.2,38.7,35.8,20.2
W00008080,3.6,31.3,36.5,28.6
W00008153,8.1,30.6,40.3,21
W00008168,4.1,32,36.1,27.9
W00008172,3.4,24.7,41.8,30.1
W00008178,8.5,33,40.5,18
W00008179,1.8,34.5,33.6,30
W00008180,17.7,48.1,27.3,6.9
W00008181,16.2,41.2,33.8,8.8
W00008182,9.7,37.8,37.2,15.3
W00009787,12.6,42.3,34.3,10.9
W00009788,10.5,40.1,37.5,11.8
W00009789,6.5,51.9,33.8,7.8
W00009790,6.5,39.8,33.3,20.3
