geography_code,heating_type_3a-001,heating_type_3a-002
E00074458,0.7,99.3
E00074459,0.9,99.1
E00074460,1.7,98.3
E00074461,1.2,98.8
E00074462,1.9,98.1
E00074463,0,100
E00074464,0,100
E00074465,2.3,97.7
E00074466,1.2,98.8
E00074467,1.5,98.5
E00074468,0,100
E00074469,0,100
E00074470,0.6,99.4
E00074471,2.4,97.6
E00074472,2.5,97.5
E00074473,0,100
E00074474,0.7,99.3
E00074475,0,100
E00074476,0.9,99.1
E00074477,0.9,99.1
E00074478,1.9,98.1
E00074479,0,100
E00074480,0.8,99.2
E00074481,0,100
E00074482,0.8,99.2
E00074483,0,100
E00074484,0.8,99.2
E00074485,2.6,97.4
E00074587,0.8,99.2
E00074607,1.5,98.5
E00074608,0,100
E00074609,1.2,98.8
E00074610,1.7,98.3
E00074611,0.8,99.2
E00074612,0,100
E00074613,0.8,99.2
E00074614,0,100
E00074615,0,100
E00074616,2.3,97.7
E00074617,0,100
E00074618,0.8,99.2
E00074619,1.6,98.4
E00074620,1.4,98.6
E00074623,1.4,98.6
E00074625,0,100
E00074626,0,100
E00074627,5.7,94.3
E00074629,0,100
E00074630,0,100
E00074631,0.5,99.5
E00074633,4,96
E00074634,0,100
E00074635,1.2,98.8
E00074636,0.8,99.2
E00074637,0,100
E00074764,4.1,95.9
E00074765,2.1,97.9
E00074766,4,96
E00074767,3,97
E00074768,0.6,99.4
E00074769,2,98
E00074770,6.5,93.5
E00074771,1.6,98.4
E00074772,2.5,97.5
E00074773,1.9,98.1
E00074774,6,94
E00074775,0.8,99.2
E00074776,0.8,99.2
E00074777,6.8,93.2
E00074778,1.4,98.6
E00074779,1.8,98.2
E00074780,0.7,99.3
E00074781,1.3,98.7
E00074782,1.2,98.8
E00074783,1.7,98.3
E00074784,1.6,98.4
E00074785,2.4,97.6
E00074786,0.6,99.4
E00074787,2.9,97.1
E00074788,0.9,99.1
E00074789,0.6,99.4
E00074790,0,100
E00074791,0,100
E00074792,0,100
E00074793,2.6,97.4
E00074794,0,100
E00074795,0.9,99.1
E00074796,3.2,96.8
E00074797,3.6,96.4
E00074798,0.9,99.1
E00074799,3.5,96.5
E00074800,0.7,99.3
E00074801,2.7,97.3
E00074802,0.8,99.2
E00074803,2.6,97.4
E00074804,1.3,98.7
E00074805,1.8,98.2
E00074806,0,100
E00074807,0,100
E00074808,0.8,99.2
E00074809,0.8,99.2
E00074810,0.9,99.1
E00074811,1.8,98.2
E00074812,1.8,98.2
E00074813,0.9,99.1
E00074814,0.9,99.1
E00074815,2.5,97.5
E00074816,2.5,97.5
E00074817,0.8,99.2
E00074818,0,100
E00074819,0,100
E00074820,2.8,97.2
E00074821,1.6,98.4
E00074823,0.7,99.3
E00074824,0.7,99.3
E00074825,2.3,97.7
E00074826,0.6,99.4
E00074828,0.7,99.3
E00074829,0.8,99.2
E00074830,2.8,97.2
E00074831,0.8,99.2
E00074832,0.9,99.1
E00074833,1.7,98.3
E00074834,1.6,98.4
E00074835,0,100
E00074836,0,100
E00074837,0,100
E00074838,0.7,99.3
E00074839,1.4,98.6
E00074840,1.3,98.7
E00074841,2,98
E00074842,0,100
E00074843,0,100
E00074844,0.9,99.1
E00074845,1.4,98.6
E00074846,2.4,97.6
E00074847,0,100
E00074848,0,100
E00074849,4.5,95.5
E00074850,1,99
E00074851,1.6,98.4
E00074852,2.2,97.8
E00074853,4,96
E00074854,0,100
E00074855,0.8,99.2
E00074856,0,100
E00074857,1.7,98.3
E00074858,1.1,98.9
E00074859,0,100
E00074860,0.8,99.2
E00074861,0,100
E00074862,0,100
E00074863,0,100
E00074864,1.7,98.3
E00074865,0.8,99.2
E00074866,0,100
E00074867,0,100
E00074868,1.6,98.4
E00074869,0.9,99.1
E00074870,0.9,99.1
E00074871,0,100
E00074872,0.8,99.2
E00074873,0,100
E00074874,0,100
E00074875,0,100
E00074876,0,100
E00074877,0,100
E00074878,0.8,99.2
E00074879,4.3,95.7
E00074880,0.9,99.1
E00074881,0,100
E00074882,0.7,99.3
E00074883,0.8,99.2
E00074884,0,100
E00074885,0.8,99.2
E00074886,0.7,99.3
E00074887,0,100
E00074888,2.1,97.9
E00074889,0,100
E00074890,0,100
E00074891,2.3,97.7
E00074892,0,100
E00074893,1,99
E00074894,0,100
E00074895,0,100
E00074896,1.6,98.4
E00074897,0.8,99.2
E00074898,0,100
E00074899,0.8,99.2
E00074900,1.6,98.4
E00074901,0,100
E00074902,0,100
E00074903,2.3,97.7
E00074904,4.3,95.7
E00074905,1.8,98.2
E00074906,1.6,98.4
E00074907,0.7,99.3
E00074908,0,100
E00074909,1.8,98.2
E00074910,2.4,97.6
E00074911,1.6,98.4
E00074912,0,100
E00074913,0,100
E00074914,0.8,99.2
E00074915,0,100
E00074916,0,100
E00074917,1.7,98.3
E00074918,0,100
E00074919,3.6,96.4
E00074920,1.3,98.7
E00074921,1.7,98.3
E00074922,4,96
E00074923,1.8,98.2
E00074924,0,100
E00074925,0,100
E00074926,1.5,98.5
E00074927,0.7,99.3
E00074928,1.4,98.6
E00074929,1.2,98.8
E00074930,2.4,97.6
E00074932,3.4,96.6
E00074933,0,100
E00074934,0.9,99.1
E00074935,0,100
E00074936,0.8,99.2
E00074937,5,95
E00074938,0.9,99.1
E00074939,1.4,98.6
E00074940,2.5,97.5
E00074941,2.9,97.1
E00074942,0,100
E00074943,1.8,98.2
E00074944,2.1,97.9
E00074945,1.7,98.3
E00074946,0,100
E00074947,0.9,99.1
E00074948,2.3,97.7
E00074949,2.2,97.8
E00074950,1.8,98.2
E00074951,1.6,98.4
E00074952,0.8,99.2
E00074953,0.8,99.2
E00074954,2.8,97.2
E00074956,0,100
E00074957,0,100
E00074958,0,100
E00074959,0.5,99.5
E00074960,3,97
E00074961,2.3,97.7
E00074962,0.9,99.1
E00074963,0,100
E00074964,0.9,99.1
E00074965,2,98
E00074966,0,100
E00074967,0.8,99.2
E00074969,1,99
E00074970,0,100
E00074971,1.8,98.2
E00074972,0,100
E00074973,0.8,99.2
E00074974,0,100
E00074975,0,100
E00074976,1,99
E00074977,0,100
E00074978,0.9,99.1
E00074979,2.4,97.6
E00074980,2.1,97.9
E00074981,0.8,99.2
E00074982,0,100
E00074983,0,100
E00074984,0,100
E00074985,4.1,95.9
E00074986,1.9,98.1
E00074988,2.2,97.8
E00074989,0.8,99.2
E00074990,1.5,98.5
E00074991,0.8,99.2
E00074992,0,100
E00074993,5.8,94.2
E00074994,4.4,95.6
E00074995,1.8,98.2
E00074996,2.6,97.4
E00074997,1.4,98.6
E00074998,5.6,94.4
E00074999,0,100
E00075000,2.6,97.4
E00075001,0.9,99.1
E00075002,0.6,99.4
E00075003,1.4,98.6
E00075004,4.5,95.5
E00075005,0,100
E00075006,4,96
E00075007,0.7,99.3
E00075008,7.8,92.2
E00075009,0.7,99.3
E00075010,0.7,99.3
E00075011,0.7,99.3
E00075012,3.2,96.8
E00075013,3.4,96.6
E00075014,0,100
E00075015,1.1,98.9
E00075016,0.9,99.1
E00075017,0,100
E00075065,0.6,99.4
E00075066,0.6,99.4
E00075068,0,100
E00075069,0,100
E00075070,1.6,98.4
E00075071,0,100
