geography_code,legal_partnership_status_3a-001,legal_partnership_status_3a-002
E00075591,71.4,28.6
E00075592,62.4,37.6
E00075593,63.1,36.9
E00075601,66.2,33.8
E00075709,58.9,41.1
E00075710,32.1,67.9
E00075719,56,44
E00112976,42.1,57.9
E00112977,60.1,39.9
E00112978,57,43
E00112979,41.7,58.3
E00112980,43.3,56.7
E00112981,58.1,41.9
E00112982,35.8,64.2
E00112983,37.4,62.6
E00112984,56.6,43.4
E00112985,45.7,54.3
E00112986,51.9,48.1
E00112987,42.5,57.5
E00112988,40.3,59.7
E00112989,47.2,52.8
E00112991,38.2,61.8
E00112992,43.3,56.7
E00112993,62.4,37.6
E00112994,53.4,46.6
E00112995,55.8,44.2
E00113002,54.5,45.5
E00113003,51.7,48.3
E00113004,62.6,37.4
E00113005,58.1,41.9
E00113006,56.9,43.1
E00113007,54.5,45.5
E00113008,49,51
E00113009,32.5,67.5
E00113010,51.6,48.4
E00113011,35.7,64.3
E00113012,37.6,62.4
E00113019,55.1,44.9
E00113020,50.2,49.8
E00113021,64.8,35.2
E00113022,59.3,40.7
E00113023,51.9,48.1
E00113030,45.7,54.3
E00113031,44.6,55.4
E00113032,56.7,43.3
E00113033,45.7,54.3
E00113034,40.4,59.6
E00113035,45.1,54.9
E00113036,33.2,66.8
E00113037,40.6,59.4
E00113038,42.5,57.5
E00113039,48.2,51.8
E00113040,43,57
E00113041,51.5,48.5
E00113042,45.3,54.7
E00113043,43.7,56.3
E00113044,57.7,42.3
E00113045,47.8,52.2
E00113047,39,61
E00113048,42.9,57.1
E00113049,33.2,66.8
E00113050,36.8,63.2
E00113051,40.4,59.6
E00113052,38.1,61.9
E00113053,32.7,67.3
E00113054,49.9,50.1
E00113055,38.5,61.5
E00113056,44.6,55.4
E00113057,46.7,53.3
E00113058,33.2,66.8
E00113059,37.1,62.9
E00113060,55.5,44.5
E00113061,58.2,41.8
E00113062,31,69
E00113063,42.9,57.1
E00113064,58,42
E00113065,51.4,48.6
E00113066,35.5,64.5
E00113067,53,47
E00113068,36.7,63.3
E00113069,57.7,42.3
E00113070,36.7,63.3
E00113071,47,53
E00113072,60.2,39.8
E00113073,39.7,60.3
E00113074,37.9,62.1
E00113075,45.1,54.9
E00113076,54.7,45.3
E00113077,39.5,60.5
E00113078,36.8,63.2
E00113079,54.7,45.3
E00113080,51.7,48.3
E00113081,45.3,54.7
E00113082,55.7,44.3
E00113083,54.2,45.8
E00113084,47.6,52.4
E00113085,37.4,62.6
E00113086,57.6,42.4
E00113092,64.5,35.5
E00113093,66.4,33.6
E00113094,62.1,37.9
E00113095,65.2,34.8
E00113096,53.4,46.6
E00113097,64,36
E00113098,51.8,48.2
E00113099,64.9,35.1
E00113100,43.9,56.1
E00113101,37.8,62.2
E00113102,50.6,49.4
E00113103,62.3,37.7
E00113104,45.3,54.7
E00113106,51.8,48.2
E00113107,50,50
E00113108,49.5,50.5
E00113109,41,59
E00113116,53.1,46.9
E00113117,48.2,51.8
E00113121,50.7,49.3
E00113127,33.8,66.2
E00113128,42.9,57.1
E00113129,29.2,70.8
E00113130,60.7,39.3
E00113132,40.5,59.5
E00113133,29.5,70.5
E00113134,31,69
E00113135,31,69
E00113137,44.6,55.4
E00113138,36.8,63.2
E00113139,47.9,52.1
E00113140,54.4,45.6
E00113141,54,46
