geography_code,english_proficiency_4a-001,english_proficiency_4a-002,english_proficiency_4a-003
E00130751,99.3,0.7,0
E00130752,98.4,1.4,0.2
E00130753,100,0,0
E00130754,99.3,0.5,0.2
E00130756,99.2,0.8,0
E00130757,100,0,0
E00130758,98.9,0.9,0.2
E00130847,98.5,1.2,0.3
E00130849,98.5,1.5,0
E00130850,98.8,0.8,0.4
E00130851,93.5,5.6,0.9
E00130852,96.3,3.7,0
E00130853,98.6,1.4,0
E00130854,95.2,3.5,1.3
E00130855,92.5,7.1,0.3
E00130856,94.5,4.5,1
E00130858,95.8,3.6,0.6
E00130859,93.9,6.1,0
E00130860,91.5,6.5,2
E00130861,98.3,1.7,0
E00130862,93.3,6.2,0.6
E00130863,98,1.4,0.6
E00130864,98.6,1.4,0
E00130865,97,3,0
E00130866,99.5,0.5,0
E00130867,92.5,6.7,0.8
E00130868,97.3,2.2,0.4
E00130869,99.7,0.3,0
E00130871,91.6,6.9,1.5
E00130872,94.7,4.5,0.8
E00130873,96.5,3.5,0
E00130943,85.1,12.3,2.6
E00130944,96.6,2.6,0.9
E00130948,99,1,0
E00130949,98.4,1.6,0
E00130960,99.3,0.7,0
E00130961,97.7,2.3,0
E00130995,99.2,0.6,0.2
E00137248,92.5,6,1.5
E00137249,92.5,5.3,2.3
E00137253,90.8,7.9,1.3
E00137254,94.1,3.6,2.4
E00137255,91.5,6.6,1.9
E00137265,88,8.3,3.6
E00137266,89.4,8,2.6
E00137267,92.3,6.4,1.3
E00137268,93.9,4.8,1.3
E00137269,92.7,7.3,0
E00137290,100,0,0
E00137291,97.9,2.1,0
E00137292,99.1,0.9,0
E00137294,98.8,1.2,0
E00137295,100,0,0
E00137296,98.4,1.6,0
E00137297,97.5,2.5,0
E00137298,97.2,2.8,0
E00137299,98.9,1.1,0
E00137300,98.4,1.3,0.3
E00137312,98.8,0.8,0.4
E00137313,97.6,2,0.3
E00137314,100,0,0
E00137315,100,0,0
E00137316,98.5,1.5,0
E00137317,97.7,2.3,0
E00137349,98.2,1.8,0
E00137352,99.3,0.7,0
E00137353,98.7,1,0.3
E00137379,96.6,3,0.3
E00137380,96.6,2.6,0.8
E00137381,92.9,6.9,0.2
E00137382,92.3,5.9,1.8
E00137396,100,0,0
E00137397,98.5,1.5,0
E00137398,98.3,1,0.7
E00137399,96.5,2.7,0.8
E00137400,98.1,1.9,0
E00137401,97,2.6,0.4
E00137402,96.4,3.4,0.2
E00137403,94.4,4.5,1.2
E00137404,100,0,0
E00137405,96.9,3.1,0
E00137406,97.7,1.3,1
E00137407,99.7,0.3,0
E00137408,98.6,1.4,0
E00137409,98.1,1.5,0.4
E00137410,99.4,0.6,0
E00137458,99.8,0.2,0
E00137459,99.4,0.6,0
E00137460,99.4,0.6,0
E00137464,98.3,1.3,0.3
E00137465,96.6,2.2,1.2
E00137466,98.2,1.8,0
E00137480,97.7,2.3,0
E00137481,99,1,0
E00137483,98.1,1.9,0
E00137484,98.7,0.7,0.7
E00137485,98.6,1.4,0
E00158652,86.5,10.3,3.2
E00158653,94.7,4,1.3
E00158654,93.4,5.1,1.5
E00158655,89.8,9.1,1.1
E00158656,92.1,7.6,0.3
E00158657,92.3,7.7,0
E00158658,96.5,2.7,0.8
E00158659,88.1,9.7,2.2
E00158660,82.2,14.8,3
E00158661,86.8,12.2,1
E00158662,91.8,7.4,0.8
E00158663,90.4,7.8,1.8
E00158664,88.4,9.3,2.3
E00158665,92.1,6.4,1.5
E00158668,97.1,2.4,0.5
E00158670,97.5,2.2,0.3
E00158671,97.6,2,0.5
E00158672,98.3,1.7,0
E00158673,98.4,0.4,1.2
E00158674,98.3,1.1,0.6
E00158676,76.6,17.9,5.5
E00158677,68.7,23,8.4
E00158678,80.9,17.4,1.6
E00158680,87.3,10.9,1.9
E00158681,68.3,25.3,6.5
E00158682,80.6,18.6,0.8
E00158684,70,25,5
E00158685,58.8,31.2,10.1
E00158686,67.3,26.3,6.3
E00158687,69.5,26.5,4
E00158688,66.9,28.5,4.6
E00158689,56.2,33.3,10.5
E00158690,67.1,27.2,5.7
E00158691,65.3,27.5,7.2
E00158692,82.3,14.5,3.2
E00158693,80.4,15.2,4.3
E00158694,63.9,29.6,6.4
E00158695,90.2,7.9,2
E00158696,74.3,20.3,5.4
E00158698,99.2,0.8,0
E00158699,92.6,5.3,2.1
E00158700,91.6,6.3,2.2
E00158701,96.2,3.4,0.4
E00158702,97.8,2.2,0
E00158703,98,2,0
E00158704,90.6,7,2.3
E00158705,97.7,1.9,0.4
E00158706,96.2,3.5,0.3
E00158707,93.6,6,0.4
E00158708,94.7,5.3,0
E00158709,93.8,5.4,0.8
E00158710,95.9,4.1,0
E00158711,94.6,4.8,0.6
E00158712,85.5,13.1,1.5
E00158713,93,6.8,0.2
E00158714,90.3,9.2,0.5
E00158715,91.2,8.2,0.6
E00158716,94.6,4.8,0.5
E00158717,94.4,4.9,0.7
E00158718,84,12.1,3.9
E00158719,73,25.5,1.5
E00158720,82.8,15.3,1.9
E00158721,88.5,9,2.6
E00158722,80.9,17.5,1.6
E00158723,90.6,9.1,0.4
E00158724,88.7,10.9,0.4
E00158725,88.2,11.5,0.3
E00158726,89.1,8.4,2.5
E00158727,92.7,6.9,0.4
E00158728,85.4,13.7,0.9
E00158729,86.8,10,3.2
E00158730,88.5,10.3,1.3
E00158732,80.2,17.6,2.3
E00158733,84.1,13.1,2.8
E00158734,79.3,18.8,1.9
E00158735,90,6.3,3.8
E00158736,75.5,19,5.5
E00158737,87.7,11.4,0.9
E00158738,84,13.8,2.3
E00158740,81.4,14.9,3.7
E00158741,95.7,4.3,0
E00158742,89.3,8.9,1.8
E00158743,94,6,0
E00158744,92.9,4.8,2.4
E00158745,97.9,2.1,0
E00158746,93.4,5.9,0.7
E00158747,88.5,10.3,1.2
E00158748,81.8,13.9,4.3
E00158749,88.1,10.1,1.8
E00158750,83.5,15.1,1.4
E00158751,80.3,17.2,2.5
E00158752,76.9,17.7,5.5
E00158754,92.4,4.8,2.8
E00158755,88.8,9.2,2
E00158756,93.4,6.3,0.3
E00158757,89.1,7.7,3.2
E00158758,86.3,11.5,2.2
E00158759,96.9,2.7,0.4
E00158760,99.6,0.4,0
E00158762,93.6,5.3,1
E00158763,97.5,1.9,0.6
E00158764,97.8,1.9,0.3
E00158765,95.9,4.1,0
E00158766,95.3,4.4,0.3
E00158767,97.4,2.6,0
E00158768,96.1,3.7,0.2
E00158769,97.3,2.4,0.3
E00158770,97.6,2.4,0
E00158771,99.5,0.5,0
E00158774,96.4,3.6,0
E00158776,97,3,0
E00158778,99.4,0.6,0
E00158779,98.4,1.3,0.3
E00158789,99,0,1
E00158790,98,0.9,1.1
E00158791,97.5,2.5,0
E00158793,99.3,0.7,0
E00158794,96.4,3.6,0
E00158795,98.8,1.3,0
E00158796,95.5,4.1,0.4
E00158797,97.9,1.7,0.4
E00158798,99.2,0.8,0
E00158799,94.6,5,0.4
E00158800,97.2,2.6,0.2
E00158801,93.6,6.1,0.3
E00158802,92.4,6.9,0.7
E00158803,79.8,18.1,2.1
E00158804,99.1,0.9,0
E00158806,95.1,4.3,0.7
E00158807,93.4,5.3,1.3
E00158808,92.9,6.1,1.1
E00158809,89.4,6.9,3.7
E00158810,82.4,13,4.6
E00158811,91.9,8.1,0
E00158812,88.7,10.5,0.8
E00158813,97.2,2.8,0
E00158814,94.4,5.6,0
E00158815,90.6,8.9,0.4
E00158816,94.6,4.4,1
E00158818,97.3,0.8,1.9
E00158819,99.6,0.4,0
