geography_code,health_in_general_4a-001,health_in_general_4a-002,health_in_general_4a-003
E00065661,85.2,11.8,3
E00065665,77.3,15.7,7
E00065677,80.1,12.5,7.4
E00065678,88.9,8.3,2.8
E00065679,88.3,9.3,2.4
E00065680,81.9,13.2,4.9
E00065681,83.9,11.9,4.2
E00065682,81.1,14.8,4.1
E00065683,86.1,10.4,3.5
E00065684,85.5,9.3,5.2
E00065685,88.2,6.7,5.2
E00065686,80,11.5,8.5
E00065687,81.4,16.5,2.2
E00065688,76.1,19.6,4.3
E00065690,76,17.3,6.6
E00065691,75.6,17.4,7.1
E00065692,79.8,16,4.2
E00065693,77.5,16.6,5.9
E00065694,73.4,20.1,6.6
E00065695,89,8.6,2.5
E00065696,80.1,13.4,6.6
E00065697,77.2,15.1,7.8
E00065698,81.4,13.2,5.4
E00065699,77,17.7,5.3
E00065700,84.1,13.8,2.1
E00065701,78.4,16.8,4.8
E00065702,83.6,12.5,3.9
E00065703,81.4,15.1,3.5
E00065704,82.9,13.1,4
E00065710,76.3,17.6,6.1
E00065712,79.8,14.7,5.5
E00065718,81,16,3.1
E00065719,85.1,10.8,4.1
E00065857,87,10.9,2
E00065858,81.5,13.5,5.1
E00065859,86.9,9.3,3.7
E00065860,76.3,17,6.6
E00065862,86.7,9.5,3.8
E00065863,77.8,18.3,4
E00065864,69.6,19,11.4
E00065865,87,11.3,1.7
E00065866,89.6,8.7,1.7
E00065867,81.4,15,3.6
E00065868,89.1,9.5,1.4
E00065869,85.8,12.1,2.1
E00065870,83.2,14.1,2.8
E00065871,81.5,14.6,3.8
E00065872,82.1,13.5,4.5
E00065873,77.4,15.3,7.3
E00065874,78.9,16.5,4.7
E00065875,83.7,12.2,4.1
E00065876,83.5,12.7,3.8
E00065877,81.9,13.2,4.9
E00065878,82.8,13.1,4.1
E00065879,76.3,18.3,5.4
E00065880,71,23.4,5.6
E00065881,74.7,20.9,4.4
E00065882,82.5,12.9,4.6
E00065883,85.6,11.3,3.2
E00065884,77.2,18.1,4.7
E00065885,86.3,11.1,2.6
E00065886,76.8,16.5,6.7
E00065888,88.6,9.9,1.6
E00065900,87.3,9.5,3.2
E00065901,84.6,12.3,3.2
E00065902,84.6,11.9,3.5
E00065903,88.2,8.1,3.7
E00065904,85.6,11.9,2.6
E00065905,79.8,16.4,3.8
E00065906,80.8,15,4.2
E00065907,88,10.2,1.8
E00066196,82.2,12.2,5.7
E00066197,84,13.2,2.7
E00066201,89,8.4,2.5
E00066202,89.5,8.1,2.4
E00066208,82.4,13.1,4.6
E00066209,82.3,14.3,3.4
E00066231,89.2,8.7,2.1
E00066232,87.3,9.5,3.2
E00066233,86,10.4,3.6
E00066235,87.2,11.6,1.2
E00066238,85.8,11.5,2.7
E00066239,84.5,12.3,3.2
E00066240,84.6,12.5,2.9
E00066242,87.1,7.9,5
E00067384,79.4,15.4,5.2
E00067393,72.6,12.4,15
E00067637,82.8,14.1,3.1
E00067639,86.8,10.9,2.3
E00067640,86.7,9.6,3.7
E00067641,88.3,10,1.7
E00067643,84.9,12.6,2.5
E00067645,88.9,10,1.2
E00067646,87.4,10,2.7
E00067649,88.2,9.5,2.3
E00067650,87.4,11,1.6
E00067651,86.8,8.9,4.3
E00067652,83.4,12.1,4.5
E00067654,84.3,11.7,4
E00067655,83.4,11.3,5.3
E00067750,91.4,5.1,3.4
E00067758,80.2,16,3.9
E00067759,79.6,14.9,5.5
E00067904,83.8,11.3,4.9
E00067905,92.5,5.3,2.1
E00067906,85.1,11.5,3.4
E00067907,88,8.2,3.7
E00067908,89.1,8.3,2.7
E00067911,90.9,7.3,1.8
E00067912,90.3,7.5,2.2
E00067913,81.6,15.7,2.7
E00067914,85.5,11.6,2.9
E00067915,87,8.7,4.3
E00067916,82.2,13.3,4.5
E00067917,85.9,11.2,3
E00142020,87.5,9.9,2.6
E00142021,88.4,8.7,2.9
E00142022,82.4,11.2,6.4
E00142023,82.5,13.7,3.8
E00142025,77.2,16.7,6
E00142026,77.2,19.3,3.5
E00142027,82.8,12.2,4.9
E00142028,83.6,12.4,4
E00142030,85.2,12.3,2.5
E00142033,88.4,8.8,2.9
E00142034,80.9,10.7,8.4
E00142122,91.5,8.5,0
E00142123,80.4,14.3,5.3
E00142124,86,10.9,3.1
E00142125,80.4,15.7,3.9
E00142126,87.4,9.1,3.4
E00142127,90.3,7,2.7
E00142128,82.2,13.6,4.3
E00142129,86.4,10.5,3.1
E00142130,90.5,8.1,1.4
E00142131,78.8,14.1,7.1
E00142132,79.5,17.1,3.4
E00142133,78.9,13.8,7.3
E00142145,86.1,11.6,2.4
E00142146,79.9,14.6,5.4
E00142147,87,9.9,3
E00142148,85.3,11.4,3.3
E00142149,88.1,8.4,3.5
E00142150,87.9,10.3,1.8
E00142151,88.7,7.3,4
E00142152,87.7,10.3,1.9
E00142153,91.3,6.2,2.5
E00142154,76.9,17.9,5.2
E00142159,88.8,8.2,3
E00142205,85.1,10.9,4
E00170119,78.4,14,7.6
E00170122,82.6,14.6,2.7
E00170123,91.1,7.6,1.3
E00170124,89.8,8.1,2.1
E00185467,81.5,15.7,2.8
E00185476,88.7,8.9,2.4
E00185489,81.4,13.7,4.9
E00185499,91.7,7.1,1.2
E00185505,83.2,13.2,3.5
E00185520,91,8.2,0.7
E00185521,91.3,8.7,0
E00185524,92.2,6.3,1.5
E00185545,87.2,12,0.8
E00185549,86.8,10.4,2.8
E00185559,81.6,14.3,4.1
E00189816,95.6,2.4,2
E00189857,91.9,6.4,1.7
E00189891,54.5,26.9,18.7
