geography_code,disability_3a-001,disability_3a-002
E00037886,14.6,85.4
E00037889,15.3,84.7
E00037890,30.7,69.3
E00037891,9,91
E00037892,8.7,91.3
E00037897,20.5,79.5
E00037898,23.6,76.4
E00037900,32.5,67.5
E00037905,38.2,61.8
E00037906,17.4,82.6
E00037908,17.7,82.3
E00037909,35.6,64.4
E00037912,24.3,75.7
E00037913,13.7,86.3
E00037914,20.5,79.5
E00037915,20.9,79.1
E00037916,24.5,75.5
E00037917,18.4,81.6
E00037918,25.8,74.2
E00037919,17.6,82.4
E00037921,25.2,74.8
E00037922,29.9,70.1
E00038513,16.1,83.9
E00038518,10.2,89.8
E00038520,17.6,82.4
E00038521,14,86
E00038522,12,88
E00038524,19.6,80.4
E00038525,12.5,87.5
E00038526,18.9,81.1
E00038527,14.4,85.6
E00038530,16.5,83.5
E00038531,17.8,82.2
E00038532,11.9,88.1
E00038533,17.6,82.4
E00038534,18.3,81.7
E00038535,31,69
E00038536,16,84
E00038537,11.4,88.6
E00038538,24,76
E00038539,21.1,78.9
E00038540,17,83
E00038541,19.3,80.7
E00038542,12.3,87.7
E00038543,20.6,79.4
E00038544,22.2,77.8
E00038545,11.6,88.4
E00038546,10.5,89.5
E00038547,16,84
E00038548,17.8,82.2
E00038550,15.8,84.2
E00038551,17.2,82.8
E00038552,19.7,80.3
E00038553,19.9,80.1
E00038554,19,81
E00038555,12.8,87.2
E00038556,11.5,88.5
E00038557,17.2,82.8
E00038558,15.2,84.8
E00066821,14.4,85.6
E00066822,20.1,79.9
E00066823,14.3,85.7
E00066824,11.9,88.1
E00066825,18.4,81.6
E00066826,19,81
E00066827,15.1,84.9
E00066828,13.5,86.5
E00066829,20,80
E00066830,15,85
E00066831,21.6,78.4
E00066832,14.5,85.5
E00066833,23.2,76.8
E00066858,14.8,85.2
E00066859,20.2,79.8
E00066860,21.6,78.4
E00066861,20,80
E00066862,19.9,80.1
E00066863,18.2,81.8
E00066864,19.5,80.5
E00066865,19.8,80.2
E00066866,11.4,88.6
E00066867,17.1,82.9
E00066868,13.9,86.1
E00066869,15.7,84.3
E00066870,19.9,80.1
E00066871,32.4,67.6
E00066872,23.7,76.3
E00066873,13.8,86.2
E00066874,22.1,77.9
E00066875,15.5,84.5
E00066878,16.1,83.9
E00133985,22.1,77.9
E00133988,28.3,71.7
E00133989,32.4,67.6
E00133990,33.5,66.5
E00133991,28.7,71.3
E00133992,23.5,76.5
E00133993,37.5,62.5
E00133994,23.3,76.7
E00133995,21.1,78.9
E00133996,21.7,78.3
E00133997,19.4,80.6
E00133998,27.6,72.4
E00133999,21.5,78.5
E00134000,25.2,74.8
E00134001,32.1,67.9
E00134002,24.1,75.9
E00134003,23.3,76.7
E00134004,17.1,82.9
E00134005,14.4,85.6
E00134006,24.1,75.9
E00134007,19.1,80.9
E00134008,15,85
E00134009,33.1,66.9
E00134010,28.4,71.6
E00134011,22,78
E00134012,25.8,74.2
E00134014,19,81
E00134015,26.9,73.1
E00134016,23.1,76.9
E00134017,23,77
E00134018,20.6,79.4
E00134019,16.3,83.7
E00134020,21.2,78.8
E00134021,18.2,81.8
E00134022,28.1,71.9
E00134023,25.1,74.9
E00134024,23.3,76.7
E00134025,28.5,71.5
E00134026,32.1,67.9
E00134027,17.7,82.3
E00134029,31.9,68.1
E00134030,32.5,67.5
E00134031,30.8,69.2
E00134033,31,69
E00134034,34.2,65.8
E00134035,36.9,63.1
E00134036,27.5,72.5
E00134037,33.5,66.5
E00134038,22.2,77.8
E00134039,28.3,71.7
E00134040,17.9,82.1
E00134041,25.7,74.3
E00134062,16.2,83.8
E00134063,17.1,82.9
E00134064,25.4,74.6
E00134065,21.2,78.8
E00134066,21.5,78.5
E00134137,12.4,87.6
E00134138,28.8,71.2
E00134139,17.3,82.7
E00134148,16.5,83.5
E00134167,15.8,84.2
E00134168,15.7,84.3
E00134169,20.9,79.1
E00134170,31.3,68.7
E00134171,37.5,62.5
E00134172,23.7,76.3
E00134173,16.9,83.1
E00134174,18.4,81.6
E00142652,22.2,77.8
E00142653,15.7,84.3
E00142654,22.9,77.1
E00142655,21,79
E00142656,19.6,80.4
E00142657,15.7,84.3
E00142658,20.5,79.5
E00142659,27.9,72.1
E00142664,16.3,83.7
E00142689,19.3,80.7
E00142690,19.3,80.7
E00142691,24.1,75.9
E00142692,11.6,88.4
E00142693,19.1,80.9
E00142714,28.7,71.3
E00142716,18.6,81.4
E00142728,17.3,82.7
E00142730,26.1,73.9
E00142731,31.2,68.8
E00142738,40.9,59.1
E00142739,21.3,78.7
E00142740,19,81
E00142742,25,75
E00142743,18.4,81.6
E00142745,21.5,78.5
E00142746,32.1,67.9
E00142778,12.4,87.6
E00142779,9.8,90.2
E00142780,21.6,78.4
E00142781,17.5,82.5
E00142782,18,82
E00142783,12.4,87.6
E00142784,21.1,78.9
E00142789,18.5,81.5
E00142793,20.5,79.5
E00142799,21,79
E00142801,24.3,75.7
E00142802,21.4,78.6
E00142808,18.3,81.7
E00142809,24.9,75.1
E00142818,27.1,72.9
E00142819,22.3,77.7
E00142820,18.2,81.8
E00142821,18.6,81.4
E00142822,12.3,87.7
E00142823,21.8,78.2
E00142824,18.3,81.7
E00142825,15.2,84.8
E00142835,14.3,85.7
E00142836,30.1,69.9
E00142837,18.2,81.8
E00142838,16.4,83.6
E00142839,23.6,76.4
E00142840,12.9,87.1
E00142841,15.2,84.8
E00142846,15.1,84.9
E00142847,14.6,85.4
E00142849,15.6,84.4
E00142852,14.7,85.3
E00142853,27.8,72.2
E00142854,17.4,82.6
E00142855,22.4,77.6
E00142856,13.5,86.5
E00168556,12.6,87.4
E00168557,25.1,74.9
E00168558,14.7,85.3
E00168559,12.5,87.5
E00168566,10.4,89.6
E00172391,14.7,85.3
E00173382,13.6,86.4
E00182648,16.7,83.3
E00182668,20.1,79.9
E00182672,1.7,98.3
E00182676,10.5,89.5
E00182677,5.3,94.7
E00182696,27.9,72.1
E00182743,8.6,91.4
E00185287,32.5,67.5
E00185300,22.6,77.4
E00185311,22.7,77.3
E00185312,18.2,81.8
E00185325,31.4,68.6
E00185385,15.4,84.6
E00185394,27.5,72.5
E00185407,19.3,80.7
E00185443,12.5,87.5
E00185454,5.9,94.1
