geography_code,migrant_ind-000,migrant_ind-001,migrant_ind-002,migrant_ind-003
E00131349,97.3,0.3,2.2,0.3
E00131350,92.8,0,6.6,0.7
E00131351,95.9,0,4.1,0
E00131352,81.4,1.5,16.9,0.3
E00131353,95.5,0,4.5,0
E00131354,92.7,0.3,5.5,1.5
E00131355,90.2,0,9.5,0.4
E00131356,94.3,0,5.7,0
E00131357,91,0.3,8.7,0
E00131358,91.3,0.3,8.4,0
E00131359,92.6,0,7.4,0
E00131360,91.9,0,8.1,0
E00131388,83.7,0,14.8,1.6
E00133760,93.7,0.5,5.1,0.7
E00133761,91.9,0,7.2,0.9
E00133762,92,0,7.6,0.4
E00133873,96,0.9,2.8,0.3
E00133874,89.5,0.3,9.3,1
E00133875,86.9,0.5,12.1,0.5
E00133876,90.6,0.2,8.4,0.8
E00133877,88.3,0.6,11.1,0
E00133878,97.7,0,2.3,0
E00133879,94.1,0,5.6,0.3
E00133929,94.2,0,5.1,0.7
E00133930,92.9,0.6,5.3,1.2
E00133931,96.3,0.4,3.3,0
E00133932,95,0.2,4.1,0.7
E00133935,93.5,0.3,5.9,0.3
E00143418,86.8,0.7,12.5,0
E00143419,90.7,0.5,8.2,0.5
E00143420,92,0,7.3,0.7
E00143421,93.1,0,6.9,0
E00143422,93.4,0.4,6.2,0
E00143423,91.5,0,8.5,0
E00143424,85.2,0,14.5,0.3
E00143425,93.8,0,5.5,0.7
E00143426,92.7,0,7.3,0
E00143427,91.9,0.3,7.8,0
E00143428,92.9,0.7,5.7,0.7
E00143429,89.5,0.3,8.5,1.7
E00143746,90.7,0.7,8.6,0
E00143750,91.2,0.3,8.5,0
E00143751,87.7,0,12.3,0
E00144108,90.2,0,9.8,0
E00144109,89,0.3,10.3,0.3
E00144110,92.5,0.4,7.2,0
E00144111,91.3,0,8.1,0.6
E00144112,94.2,0,5.8,0
E00144113,94.6,0,5.4,0
E00144114,92.5,0,7.5,0
E00144115,94.6,0,5.4,0
E00144116,89,0,11,0
E00144117,79.2,0,19.2,1.6
E00144118,92.8,0,7.2,0
E00144119,94.3,0,5.7,0
E00144120,90.8,0,8,1.1
E00144121,93.4,0,6.6,0
E00144122,89.7,0,10,0.4
E00144123,93,0,6.6,0.4
E00144124,92.5,0.4,7.1,0
E00144125,94.4,0,5.6,0
E00144126,95.4,0,4.6,0
E00144127,89.5,0,9.9,0.5
E00144128,94.9,0,5.1,0
E00144129,93.4,0,6.6,0
E00144130,94.1,0,5.9,0
E00144131,88.8,0,11.2,0
E00144132,90.5,0,9.2,0.4
E00144133,90.5,0,9.5,0
E00144134,88.8,0,10.9,0.4
E00144136,93,0,7,0
E00144137,90.5,0,9.5,0
E00144138,93.2,0,6.5,0.4
E00144139,87.2,0,12.4,0.4
E00144140,93.9,0,5.7,0.4
E00144141,87.3,0,12.7,0
E00144142,89.5,0,10.5,0
E00144143,93.5,0,6.5,0
E00144144,92.9,0,6.3,0.7
E00144145,88.1,0,11.6,0.3
E00144146,90.2,0.4,9.4,0
E00144147,88.8,0.5,10.7,0
E00144148,88.9,0.5,10.2,0.5
E00144149,88.8,0,10.8,0.4
E00144150,87.6,0.2,10.7,1.6
E00144151,88.7,0,10.9,0.4
E00144152,88.3,0,10.8,0.9
E00144153,88.4,0,10.2,1.4
E00144155,87.4,0,12.6,0
E00144156,92.3,0.8,7,0
E00144158,91,0,6,3
E00144159,89.3,0.3,10.4,0
E00144207,88.9,0.2,10.2,0.8
E00144208,90.4,0,9.6,0
E00144209,89.6,0.3,10,0
