geography_code,residence_length_6b-001,residence_length_6b-002,residence_length_6b-003,residence_length_6b-004,residence_length_6b-005
E00064333,77.5,11.4,4.3,3.9,2.9
E00064334,61.9,17.2,12.4,7.2,1.4
E00064335,76.1,8.5,3.3,10.3,1.8
E00064336,88.5,5.6,2.8,0.4,2.8
E00064337,69.7,10.2,8.8,7.7,3.6
E00064338,88.1,10.5,0.9,0.5,0
E00064339,81.4,7.7,5.8,3.3,1.8
E00064340,79.4,7.7,2.9,5.9,4
E00064341,79.4,8.8,5.7,4.6,1.5
E00064342,74.1,10.9,7.1,4.2,3.8
E00064343,93.4,2.9,2.1,1.7,0
E00064344,76.5,12.7,6,4.8,0
E00064345,89.2,3.6,4.3,1.8,1.1
E00064346,81.4,7.9,4,3.4,3.4
E00064347,88,7.5,1.5,1.5,1.5
E00064348,91,3.6,1.8,2.2,1.4
E00064349,76.8,7.3,7.9,5.2,2.7
E00064350,77.6,9.3,5.4,5.8,1.9
E00064351,79.7,10.6,6.3,1.7,1.7
E00064353,81.9,6.4,8.3,2.9,0.5
E00064354,68.7,6.7,9.1,8.6,7
E00064355,69.9,11.5,5.8,4,8.8
E00064356,90.1,5.7,1.8,2.1,0.3
E00064357,92.6,5.7,0,0.7,1
E00064358,86.6,8.7,1.3,1.3,2.2
E00064359,93.8,6.2,0,0,0
E00064360,81.6,10.3,0.8,2.7,4.6
E00064362,89,4.3,2.3,1.4,2.9
E00064363,84.3,8.4,0,2.3,5
E00064365,97,1.2,0.3,1.2,0.3
E00064366,97.6,1.4,0.3,0,0.7
E00064367,87.4,10,1.3,0,1.3
E00064368,86.8,7,3.5,1.3,1.3
E00064369,53.8,23.6,7.9,6.6,8.1
E00064370,73.2,10.9,8.3,4.6,3
E00064371,87.7,6.6,2,0.3,3.3
E00064372,80.3,7.2,4.5,4.2,3.8
E00064373,90.4,5.3,2.8,1.4,0
E00064374,93.8,3.6,1.3,1.3,0
E00064375,87.2,8.4,1.8,0.7,1.8
E00064376,78.8,7.5,3.5,5.9,4.3
E00064377,92.5,5.5,1,0.3,0.7
E00064378,95.1,0.6,2.9,0.6,0.6
E00064379,94.1,4.6,0,1,0.3
E00064380,88.6,7.8,2,0.8,0.8
E00064381,98.9,0.4,0,0,0.8
E00064382,94.5,4.4,0.7,0,0.4
E00064383,92.3,5.6,1.2,0,0.8
E00064384,92.6,3.9,1.9,1.6,0
E00064385,91.1,6.4,1.1,0.4,1.1
E00064386,95.1,0.7,2.6,1.5,0
E00064387,95,4.1,0.4,0.4,0
E00064388,93.5,3.9,1.4,0.7,0.4
E00064389,93.2,2.5,0.7,3.6,0
E00064391,92.1,5.9,1.6,0.3,0
E00064393,92.4,5.6,0.7,0,1.3
E00064395,90.6,6.7,0.4,1.2,1.2
E00064396,91.6,3.6,2.2,0.9,1.8
E00064397,92.6,3.3,2.2,0,1.9
E00064398,93.4,2.8,1.6,1.9,0.3
E00064399,83.4,7.4,1.1,3.4,4.6
E00064400,83.8,6.3,2,4.3,3.7
E00064401,95.5,2.4,0.4,1.6,0
E00064402,93.4,4.9,0.8,0.8,0
E00064403,93.2,2,3.6,0.4,0.8
E00064404,91.5,4.8,1,2,0.7
E00064405,92.2,5.1,2.3,0.5,0
E00064407,94.4,3.4,2.1,0,0
E00064408,93.4,5,0.8,0.4,0.4
E00064409,92.5,6.1,0.6,0.3,0.6
E00064410,94.1,3.5,1.9,0.5,0
E00064411,97.7,0,2,0.3,0
E00064412,92.6,3.4,2,1.7,0.3
E00064413,96.9,2.7,0.3,0,0
E00064414,92.4,3.8,3.3,0.5,0
E00064415,92.2,3.5,1.4,1.8,1.1
E00064441,89.9,6.9,1.2,2,0
E00064442,91.8,1.4,2.7,0.9,3.2
E00064443,94.9,2.6,0.6,0.3,1.6
E00064444,94,3.5,2.2,0.3,0
E00064445,93.9,3.9,0.4,0.4,1.3
E00064446,96,3,1,0,0
E00064447,96.7,3.3,0,0,0
E00064448,98.4,1.2,0,0.4,0
E00064508,97.3,2.7,0,0,0
E00064509,94.2,1.2,1.5,0,3
E00064510,97.1,1.6,0,0.6,0.6
E00064511,99.3,0.3,0,0,0.3
E00064512,94.2,2.5,2.5,0.6,0.3
E00064513,89.9,5.9,2.1,0.5,1.6
E00064514,94.2,4.9,0.6,0.3,0
E00064515,94.3,4.3,1,0,0.3
E00064516,91.5,6.7,0.7,1.1,0
E00064517,92.8,5,1.1,0.7,0.4
E00064518,97.5,2.2,0.3,0,0
E00064519,91.6,6.4,1.2,0.8,0
E00064520,91.9,4.8,2.7,0.6,0
E00064521,89.4,8.6,0.6,0,1.4
E00064522,93.2,3.8,1.2,0.9,0.9
E00064523,91.5,5.1,1.1,0.6,1.7
E00064524,99.2,0.8,0,0,0
E00064525,95.3,2.5,0.6,0.6,0.9
E00064526,91.2,1.3,3.6,3.2,0.6
E00064527,93.4,3.3,1.6,1,0.7
E00064528,93.1,4.2,0.4,0.8,1.5
E00064529,87.9,9,1.6,0,1.4
E00064530,98.9,0.8,0.4,0,0
E00064531,98.5,1.2,0,0.3,0
E00064532,96.8,3.2,0,0,0
E00064533,95.2,2.7,1.1,0,1.1
E00064534,93.4,3.4,2.4,0.3,0.3
E00064535,94.7,4.5,0,0.8,0
E00064536,95.4,3.1,1.5,0,0
E00064537,98.6,0.5,0.5,0.5,0
E00064538,97.8,1.5,0,0.7,0
E00064539,92.5,3.5,2.2,1.9,0
E00064540,96.9,3.1,0,0,0
E00064541,89.6,3.3,3.3,1.6,2.2
E00064542,97.5,1,0.5,0,1
E00064543,96,3,1,0,0
E00064544,86.5,9.9,2.2,0,1.5
E00064545,95,3.2,0.9,0.9,0
E00064546,95,4.1,0.4,0.4,0
E00064547,94.8,4.9,0.3,0,0
E00064548,98.7,0.7,0.7,0,0
E00064549,96.7,2.8,0,0.5,0
E00064550,97,1.5,0.7,0,0.7
E00064551,93.9,2.8,1.2,0.8,1.2
E00064552,94.4,3.1,1.4,0,1
E00064553,95.8,3.3,0.5,0,0.5
E00064554,95.3,3.6,0.5,0,0.5
E00064555,93.6,4.3,1.3,0.9,0
E00064556,96.2,3.4,0.4,0,0
E00064557,92.5,2.4,2.8,1.6,0.8
E00064558,97.1,1.5,0.7,0,0.7
E00064559,95.3,3.5,0.4,0.8,0
E00064560,90.4,5,2.1,0.8,1.7
E00064561,97.8,2.2,0,0,0
E00064562,97,1.5,0.4,1.1,0
E00064563,95.1,1.9,1.9,0.7,0.4
E00064564,98.8,0.9,0.3,0,0
E00064565,98.8,1.2,0,0,0
E00064566,95.8,1.4,0.3,1,1.4
E00064567,98.8,1.2,0,0,0
E00064568,95.1,2.9,1.6,0.4,0
E00064569,98.4,0.8,0.4,0.4,0
E00064570,98.4,1.2,0.4,0,0
E00064571,98.1,1.5,0.4,0,0
E00064572,97.6,2,0.4,0,0
E00064573,97.4,2.6,0,0,0
E00064574,97.2,2,0.8,0,0
E00064575,92.9,1.2,0,2.9,2.9
E00064576,96.4,1.2,0.4,0.8,1.2
E00064811,64.2,13.5,11.5,6.2,4.6
E00064831,72.3,9.6,7.2,7.2,3.6
E00064838,56.1,13.8,14.2,9.1,6.7
E00064839,50.8,10.4,14.7,12.1,12.1
E00064840,60.4,13.4,11.1,8.9,6.1
E00064842,54.5,11.4,16.5,9,8.6
E00064845,58.2,14,8.4,12.4,7
E00064848,65.3,15.7,10.4,7.8,0.7
E00064849,57.5,20.1,9.7,4.1,8.6
E00064868,79.8,7.1,9.5,1.2,2.4
E00064869,85.5,7.9,1,2.1,3.4
E00064870,73.3,3.8,8.4,6.1,8.4
E00064871,75.8,9,7.9,2.9,4.3
E00064872,83.2,5.4,4.5,3,4
E00064899,55.6,7,21.3,10.2,6
E00064903,68.8,8.2,6.8,9.4,6.8
E00064904,59.4,10.8,12.4,6.5,10.8
E00064906,70.7,9.9,3.9,7.2,8.4
E00064908,42.3,9.1,14.3,15,19.2
E00064909,64,7.3,10.7,3.7,14.3
E00064910,59.9,9.9,6.3,13.6,10.3
E00064911,51.8,9,10.2,15.1,13.9
E00064913,59.8,11.6,4.1,8.7,15.8
E00064914,86.6,5.5,3.8,2.8,1.4
E00064915,47.1,10.8,13.2,11.4,17.4
E00064916,64.2,9.2,5.5,13.7,7.5
E00064917,67.9,9.2,10.7,8.5,3.6
E00064919,71.5,6.5,5,8.6,8.3
E00064922,76.4,10.3,4.5,4.1,4.5
E00064923,74.4,5.1,9.3,5.4,5.8
E00064924,53.8,12,14,6.4,13.7
E00064925,61.8,14.5,10.1,4.6,8.9
E00064928,54.2,7.2,7.8,17.3,13.4
E00064930,53.3,5.5,6.9,24.3,10
E00064932,67.3,8.5,6.1,6.1,12.1
E00064933,88.5,6,4.3,0.6,0.6
E00064935,83,11.1,4.6,0.3,0.9
E00064936,73.5,9.3,12.9,2,2.3
E00064937,84,6,4.7,2.2,3.1
E00064938,88.9,4.9,3.4,1.8,0.9
E00064939,87.2,5.9,3.9,1.8,1.2
E00064941,75.6,10.1,6.5,6.7,1.1
E00064942,91,2.8,3.1,2,1.1
E00064943,89.2,6.8,1.7,1.7,0.7
E00064945,85.5,6.9,5,0.7,2
E00064946,87.8,6.1,5.6,0.5,0
E00064947,87.2,8,3.3,1.1,0.4
E00064948,95.6,1.4,1.7,0.3,1
E00064949,82.4,8.7,3.3,5.4,0.3
E00064950,91.3,6.5,1.1,1.1,0
E00064951,93.4,4.3,1.6,0.8,0
E00064952,88.3,8.2,1.6,2,0
E00064953,84.5,10.4,3.8,0.6,0.6
E00064954,86.4,4.1,7.3,2.2,0
E00064955,92.3,4.3,2.3,0,1
E00064956,91.4,6.3,1.9,0,0.4
E00064957,93.1,3,3,0.6,0.3
E00064958,82.8,8.3,5.9,2,1
E00064959,87,6.2,5.1,1.1,0.6
E00064960,82.9,9.7,3.7,1.7,2
E00064961,79.1,9.5,10.6,0.6,0.2
E00064962,72,16.1,7.8,3.4,0.8
E00064964,87.6,1.7,5.6,4.7,0.4
E00064965,91.7,4,0.9,2.3,1.1
E00064967,82.6,5.8,4.2,6.5,1
E00064969,88.1,4.8,3.7,3.4,0
E00064971,88,6.6,4.2,0,1.2
E00064973,86.7,6.7,5.1,1.6,0
E00064974,51.8,18.9,22.8,6.4,0.2
E00064975,91.5,5,2.5,1,0
E00064976,78.9,7.2,6.6,6.4,1
E00064977,86.7,7.5,3.9,1.7,0.3
E00064978,89,5.2,4.4,1.1,0.3
E00065138,83.4,4.5,9,2.1,1
E00065139,75.9,14.6,3.4,5.6,0.6
E00065140,84.9,9.3,3.5,1,1.3
E00065141,90.4,3.6,3.2,2.9,0
E00065142,92.2,3.9,2.6,1.3,0
E00065143,64.5,9.1,5,4.3,17
E00065144,85.6,7.9,5.2,1.4,0
E00065145,82.4,12.5,2.8,2.2,0
E00065146,87.1,8.1,1.6,2.4,0.8
E00065147,83.9,8.7,3.7,3.7,0
E00065148,90.7,5.5,0.3,1.7,1.7
E00065149,90.4,7.8,1.8,0,0
E00065150,89,4.8,0.7,4.8,0.7
E00065151,81,9.5,3.6,4.5,1.5
E00065152,83.3,6.2,5,2.5,3.1
E00065153,89.5,6.1,2.9,1.2,0.3
E00065154,58.8,32.6,5.6,1.9,1.1
E00065155,75,14.4,7.2,1.3,2.1
E00065157,84.4,8,3.3,3.3,1.1
E00065158,84.4,6.4,2.5,3.9,2.7
E00065159,74.4,9.7,10,4,1.9
E00065161,82.7,6.1,7.1,1.5,2.5
E00065162,60.9,8.6,10.2,7.9,12.5
E00065164,76.1,11.6,9,2.1,1.2
E00065165,74.8,6.6,12.8,4.4,1.5
E00065166,79.7,7.3,6.3,4.4,2.2
E00065167,97.7,2.3,0,0,0
E00065168,95,1.8,1.4,1.1,0.7
E00065169,95.1,2.2,0.4,2.2,0
E00065170,97,2.2,0,0.6,0.3
E00065171,97.2,2.2,0.6,0,0
E00065172,97.6,2.2,0.3,0,0
E00065173,95.7,3.3,1,0,0
E00065174,98.6,1.4,0,0,0
E00065175,91.3,5,3.7,0,0
E00065176,97.5,2.5,0,0,0
E00065177,97.8,1.9,0,0,0.4
E00065178,93.7,6.3,0,0,0
E00065179,92.5,3.9,2.4,0.9,0.3
E00065180,86.2,9.2,3.4,0.7,0.5
E00065182,94.5,5.1,0.4,0,0
E00065190,97.6,2.1,0,0,0.3
E00065191,97.9,2.1,0,0,0
E00065192,95.8,2.1,1.7,0.3,0
E00065193,97.7,1.8,0.5,0,0
E00065194,96.9,2.5,0.3,0,0.3
E00065195,95.5,3,1.1,0.4,0
E00065196,96.2,2.2,0.8,0,0.8
E00065197,98.1,1.2,0,0,0.7
E00065198,96.3,1.1,2,0,0.6
E00065200,95.7,3,1.3,0,0
E00065201,96.7,3.3,0,0,0
E00065202,95.7,1.3,0.4,1.7,0.9
E00065203,97.9,2.1,0,0,0
E00065204,93.3,4.9,0.7,0,1.1
E00065205,95.5,4.5,0,0,0
E00065206,94.9,3.7,0.7,0.7,0
E00065207,93.1,5.2,0,1.7,0
E00065208,95.6,3.3,0.7,0.4,0
E00065209,92,5.9,1.4,0.7,0
E00065210,92.7,4.3,0.9,2.1,0
E00065211,94.3,5.8,0,0,0
E00065346,88.5,5.8,3.8,0.3,1.6
E00065347,96.4,2.8,0.4,0.4,0
E00065348,92.7,4.6,1.2,0.8,0.8
E00065349,97.1,2,0,0,1
E00065350,94.5,4.2,0,0.3,1
E00065351,96,2.4,1.6,0,0
E00065352,90.4,6.2,2.7,0.8,0
E00065353,96.4,2.6,0.9,0,0.2
E00065354,95.9,3.8,0,0,0.4
E00065355,94.7,4.2,1.1,0,0
E00065356,94.3,5.7,0,0,0
E00065357,88.6,6.3,2.1,0.4,2.5
E00065358,94.4,2.2,1.7,1.7,0
E00065359,92,4.9,0.4,2.3,0.4
E00065361,94.1,4,0.4,1.5,0
E00065362,94.9,5.1,0,0,0
E00065363,97.8,1.8,0,0.4,0
E00065364,98.1,1.6,0.3,0,0
E00065365,96.4,2.9,0.7,0,0
